sentence	pictos_ref_ids	sense_keys
avez vous bu de l’alcool 	[[], [], [], [], [], [26626]]	[[], [], [], [], [], ['alcohol%1:13:00::']]
votre consommation d'alcool a t elle augmenté 	[[], [], [], [26626], [], [], [], []]	[[], [], [], ['alcohol%1:13:00::'], [], [], [], []]
combien de verres d'alcool buvez vous par jour 	[[], [], [], [], [26626], [], [], [], []]	[[], [], [], [], ['alcohol%1:13:00::'], [], [], [], []]
avez vous appliqué une crème sur la lésion 	[[], [], [], [], [3376, 32204, 35637, 35829], [], [], []]	[[], [], [], [], ['cream%1:06:00::'], [], [], []]
je vais vous prescrire une crème	[[], [], [], [], [], [3376, 32204, 35637, 35829]]	[[], [], [], [], [], ['cream%1:06:00::']]
avez vous perdu de la sensibilité 	[[], [], [6175, 24759, 24760, 24779, 24780, 31894], [], [], []]	[[], [], ['lose%2:40:01::', 'lose%2:40:02::'], [], [], []]
avez vous perdu l'appétit 	[[], [], [6175, 24759, 24760, 24779, 24780, 31894], [], []]	[[], [], ['lose%2:40:01::', 'lose%2:40:02::'], [], []]
êtes vous perdu 	[[], [], [6175, 24759, 24760, 24779, 24780, 31894], []]	[[], [], ['lose%2:40:01::', 'lose%2:40:02::'], []]
avez vous perdu la vue 	[[], [], [6175, 24759, 24760, 24779, 24780, 31894], [], [], []]	[[], [], ['lose%2:40:01::', 'lose%2:40:02::'], [], [], []]
il ne faut pas vous opérer	[[], [], [], [], [], [5530]]	[[], [], [], [], [], ['operate%2:29:00::']]
buvez vous beaucoup de café 	[[], [], [], [], [2296, 24479, 32512, 25564]]	[[], [], [], [], ['coffee%1:13:00::', 'coffee%1:13:01::']]
quand vous sentez la sonde dans votre gorge avalez un peu d'eau	[[], [], [], [], [], [], [], [], [], [], [], [], [2248, 6889, 32464]]	[[], [], [], [], [], [], [], [], [], [], [], [], ['water%1:13:00::', 'h2o%1:27:00::']]
la douleur au ventre augmente t elle quand vous buvez de l'eau 	[[], [], [], [], [], [], [], [], [], [], [], [], [2248, 6889, 32464]]	[[], [], [], [], [], [], [], [], [], [], [], [], ['water%1:13:00::', 'h2o%1:27:00::']]
les démangeaisons sont elles déclenchées par l'eau 	[[], [], [], [], [], [], [], [2248, 6889, 32464]]	[[], [], [], [], [], [], [], ['water%1:13:00::', 'h2o%1:27:00::']]
avez vous bu de l’eau non potable	[[], [], [], [], [], [2248, 6889, 32464], [], []]	[[], [], [], [], [], ['water%1:13:00::', 'h2o%1:27:00::'], [], []]
nous allons appeler un interprète	[[], [], [], [], [24619, 33976]]	[[], [], [], [], ['interpreter%1:18:01::']]
je pourrai faire appel à un interprète si je le juge nécessaire	[[], [], [], [], [], [], [24619, 33976], [], [], [], [], []]	[[], [], [], [], [], [], ['interpreter%1:18:01::'], [], [], [], [], []]
à tout moment vous pouvez demander d'arrêter la consultation et demander le recours à un interprète	[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [24619, 33976]]	[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['interpreter%1:18:01::']]
veuillez répondre par oui ou par non en hochant la tête ou avec des gestes	[[], [9030, 9031, 28433], [], [], [], [], [], [], [], [], [], [], [], [], []]	[[], ['answer%2:32:00::', 'answer%2:31:00::'], [], [], [], [], [], [], [], [], [], [], [], [], []]
suivez mon doigt avec les yeux sans bouger la tête s'il vous plaît	[[], [], [3298, 9826], [], [], [], [], [], [], [], [], [], [], []]	[[], [], ['finger%1:08:00::'], [], [], [], [], [], [], [], [], [], [], []]
voyez vous double 	[[2474, 6564, 11617, 11619, 28673], [], []]	[['see%2:39:00::'], [], []]
avez vous déjà vu votre médecin traitant pour ce cas 	[[], [], [], [2474, 6564, 11617, 11619, 28673], [], [], [], [], [], []]	[[], [], [], ['see%2:39:00::'], [], [], [], [], [], []]
avez vous vu du sang dans vos selles 	[[], [], [2474, 6564, 11617, 11619, 28673], [], [], [], [], []]	[[], [], ['see%2:39:00::'], [], [], [], [], []]
l'infirmière va venir vous voir	[[], [], [], [], [], [2474, 6564, 11617, 11619, 28673]]	[[], [], [], [], [], ['see%2:39:00::']]
nous allons écouter votre cœur	[[], [], [], [], [2715]]	[[], [], [], [], ['heart%1:08:00::']]
votre coeur bat il de manière anormale 	[[], [2715], [], [], [], [], []]	[[], ['heart%1:08:00::'], [], [], [], [], []]
avez vous une maladie au coeur 	[[], [], [], [], [], []]	[[], [], [], [], [], []]
suivez la ligne verte	[[], [], [], [4886, 4887]]	[[], [], [], ['dark-green%5:00:00:chromatic:00']]
est ce que vos expectorations sont vertes 	[[], [], [], [], [], [], [4886, 4887]]	[[], [], [], [], [], [], ['dark-green%5:00:00:chromatic:00']]
est ce que vos secrétions nasales sont vertes 	[[], [], [], [], [], [], [], [4886, 4887]]	[[], [], [], [], [], [], [], ['dark-green%5:00:00:chromatic:00']]
je vais vous montrer comment faire l'injection d'insuline	[[], [], [], [], [], [11749], [], [], [], []]	[[], [], [], [], [], ['do%2:36:00::', 'create%2:36:03::', 'do%2:41:01::'], [], [], [], []]
devez vous faire une dialyse 	[[], [], [11749], [], []]	[[], [], ['do%2:36:00::', 'create%2:36:03::', 'do%2:41:01::'], [], []]
nous allons faire une prise de sang	[[], [], [11749], [], [], [], []]	[[], [], ['do%2:36:00::', 'create%2:36:03::', 'do%2:41:01::'], [], [], [], []]
avez vous déjà fait une crise cardiaque 	[[], [], [], [11749], [], [], []]	[[], [], [], ['do%2:36:00::', 'create%2:36:03::', 'do%2:41:01::'], [], [], []]
ça ne fera pas mal	[[], [], [11749], [], []]	[[], [], ['do%2:36:00::', 'create%2:36:03::', 'do%2:41:01::'], [], []]
avez vous fait un faux mouvement 	[[], [], [11749], [], [], []]	[[], [], ['do%2:36:00::', 'create%2:36:03::', 'do%2:41:01::'], [], [], []]
êtes vous d’accord que je vous examine 	[[], [], [], [], [], [], [], [], []]	[[], [], [], [], [], [], [], [], []]
avez vous appliqué une crème sur la lésion 	[[], [], [5096, 29034, 35729, 36525, 36760, 37409, 37410], [], [], [], [], []]	[[], [], ['apply%2:35:00::'], [], [], [], [], []]
nous allons vous installer dans une chambre	[[], [], [], [], [], [], [5988, 15732, 32422, 33068]]	[[], [], [], [], [], [], ['bedchamber%1:06:00::']]
avez vous pensé à arrêter de boire 	[[], [], [8661, 8662, 31847, 34403], [], [], [], []]	[[], [], ['cerebrate%2:31:00::', 'think%2:31:08::', 'intend%2:31:00::', 'think%2:36:00::'], [], [], [], []]
je ne pense pas que l'os soit cassé	[[], [], [], [], [], [], [], [], []]	[[], [], [], [], [], [], [], [], []]
avez vous pensé à arrêter de boire 	[[], [], [], [], [], [], [24896, 24929, 24930, 26053]]	[[], [], [], [], [], [], ['booze%2:34:00::']]
avez vous bu de l’alcool 	[[], [], [24896, 24929, 24930, 26053], [], [], []]	[[], [], ['booze%2:34:00::'], [], [], []]
nous allons vous mesurer	[[], [], [], [33100]]	[[], [], [], ['measure%2:31:00::']]
à combien était votre température la dernière fois que vous l'avez mesurée 	[[], [], [], [], [], [], [], [], [], [], [], [], [33100]]	[[], [], [], [], [], [], [], [], [], [], [], [], ['measure%2:31:00::']]
nous allons prévoir une consultation chez le dentiste	[[], [], [8661, 8662, 31847, 34403], [], [], [], [], []]	[[], [], ['intend%2:31:00::'], [], [], [], [], []]
avez vous observé des grains de beauté sur le corps 	[[], [], [], [], [], [], [], [], [], [6473, 17018, 17022]]	[[], [], [], [], [], [], [], [], [], ['body%1:08:00::', 'anatomy%1:08:00::']]
vous protégez vous la peau du soleil 	[[], [6192, 6599], [], [], [], [], []]	[[], ['protect%2:33:00::'], [], [], [], [], []]
avez vous eu des rapports non protégés 	[[], [], [], [], [], [], [6192, 6599]]	[[], [], [], [], [], [], ['protect%2:33:00::']]
utilisez vous de la crème solaire 	[[15485], [], [], [], [], []]	[['apply%2:34:00::'], [], [], [], [], []]
il faut vous laver tout le corps avec la lotion pendant deux jours	[[], [], [], [4939, 6546, 8976, 8977, 21824, 21826, 28621, 31991, 34611, 34775, 34777], [], [], [], [], [], [], [], [], []]	[[], [], [], ['lave%2:29:00::'], [], [], [], [], [], [], [], [], []]
les lésions sentent elles mauvais 	[[], [], [2486, 6574, 25274, 25275, 30132, 30650], [], []]	[[], [], ['smell%2:39:01::'], [], []]
sentez vous quelque chose quand je touche ici 	[[2486, 6574, 25274, 25275, 30132, 30650], [], [], [], [], [], [], []]	[['smell%2:39:01::'], [], [], [], [], [], [], []]
vous sentez vous bien en ce moment 	[[], [2486, 6574, 25274, 25275, 30132, 30650], [], [], [], [], []]	[[], ['smell%2:39:01::'], [], [], [], [], []]
avez vous une inflammation du foie 	[[], [], [], [], [], [2980]]	[[], [], [], [], [], ['liver%1:08:00::']]
avez vous les yeux qui grattent 	[[], [], [], [], [], [11356], []]	[[], [], [], [], [], ['itch%2:39:01::'], []]
avez vous les oreilles qui grattent 	[[], [], [], [], [], [11356], []]	[[], [], [], [], [], ['itch%2:39:01::'], []]
prenez vous la pilule 	[[], [], [], [15000, 32041], []]	[[], [], [], ['anovulant%1:06:00::'], []]
prenez vous régulièrement la pilule	[[], [], [], [], [15000, 32041]]	[[], [], [], [], ['anovulant%1:06:00::']]
quelle pilule prenez vous 	[[], [15000, 32041], [], [], []]	[[], ['anovulant%1:06:00::'], [], [], []]
êtes vous déjà venu aux urgences pour ce cas 	[[], [], [], [11708, 13356], [], [], [], [], []]	[[], [], [], ['come%2:38:00::'], [], [], [], [], []]
de quel pays venez vous 	[[], [], [], [11708, 13356], []]	[[], [], [], ['come%2:38:00::'], []]
en quelle année êtes vous arrivé en Suisse 	[[], [], [], [], [], [11708, 13356], [], []]	[[], [], [], [], [], ['come%2:38:00::'], [], []]
mangez vous beaucoup de viande rouge 	[[], [], [7168, 22629], [], [], []]	[[], [], ['a_good_deal%4:02:00::'], [], [], []]
merci beaucoup	[[], [7168, 22629]]	[[], ['a_good_deal%4:02:00::']]
avez vous souvent des aphtes 	[[], [], [37029], [], []]	[[], [], ['frequently%4:02:00::'], [], []]
urinez vous souvent en petite quantité 	[[], [], [37029], [], [], [], []]	[[], [], ['frequently%4:02:00::'], [], [], [], []]
savez vous où vous vous trouvez 	[[9034], [], [], [], [], []]	[['cognise%2:31:00::'], [], [], [], [], []]
pourriez vous me montrer un document avec votre adresse 	[[], [], [], [], [], [16169, 21802, 34717], [], [], []]	[[], [], [], [], [], ['card%1:10:01::', 'document%1:10:00::'], [], [], []]
de quelle oreille entendez vous le moins bien 	[[], [], [], [2381, 6572, 10364, 11609, 28659, 29718, 29719, 29720], [], [], [], []]	[[], [], [], ['hear%2:39:00::', 'hear%2:39:05::'], [], [], [], []]
l'ordinateur va traduire mes questions	[[], [], [], [37085], [], []]	[[], [], [], ['interpret%2:32:01::'], [], []]
y a t il des maladies particulières dans votre famille 	[[], [], [], [], [], [], [], [], [], [2392, 11728, 11729, 11731, 11733, 11735, 24515, 24517, 24519, 24521, 24523, 24525, 30245, 31466, 31467, 36920, 37346, 37352, 37354]]	[[], [], [], [], [], [], [], [], [], ['family%1:14:00::']]
y a t il des maladies du système digestif dans votre famille 	[[], [], [], [], [], [], [], [], [], [], [], [2392, 11728, 11729, 11731, 11733, 11735, 24515, 24517, 24519, 24521, 24523, 24525, 30245, 31466, 31467, 36920, 37346, 37352, 37354]]	[[], [], [], [], [], [], [], [], [], [], [], ['family%1:14:00::']]
les vomissements sont elles soulagées par des médicaments 	[[], [], [], [], [32222, 32224], [], [], []]	[[], [], [], [], ['alleviate%2:29:00::'], [], [], []]
vomissez vous du sang 	[[2777, 7303, 28739], [], [], [], []]	[['barf%2:29:00::'], [], [], [], []]
combien de fois avez vous vomi aujourd’hui 	[[], [], [], [], [], [2777, 7303, 28739], [], []]	[[], [], [], [], [], ['barf%2:29:00::'], [], []]
vomissez vous 	[[2777, 7303, 28739], []]	[['barf%2:29:00::'], []]
combien de kilos avez vous perdu ces six derniers mois 	[[], [], [], [], [], [], [], [], [], [7161, 37724]]	[[], [], [], [], [], [], [], [], [], ['lunar_month%1:28:00::', 'month%1:28:00::']]
habitez vous à la campagne 	[[], [], [], [], [2683, 10304], []]	[[], [], [], [], ['countryside%1:15:00::'], []]
consommez vous régulièrement de la drogue 	[[2349, 28641, 30116, 30117, 30118, 30119, 30120], [], [], [], [], []]	[['consume%2:34:00::'], [], [], [], [], []]
suez vous au niveau du visage 	[[], [], [], [], [], [2684, 31915, 37138]]	[[], [], [], [], [], ['face%1:08:00::']]
mangez vous des légumes 	[[], [], [], [6244, 7130, 28343, 29131]]	[[], [], [], ['veg%1:13:00::', 'vegetable%1:20:00::']]
avez vous des troubles de l'alimentation 	[[], [], [], [], [], [], [4610, 32602]]	[[], [], [], [], [], [], ['food%1:13:00::']]
êtes vous tombé 	[[], [], [4582, 6067, 29674]]	[[], [], ['fall%2:38:03::', 'fall%2:38:15::', 'fall%2:38:14::']]
avez vous des difficultés à marcher 	[[], [], [], [], [], [3251, 6044, 8649, 8651, 31839, 32214, 32693, 32694, 32908, 32944, 32945, 32946, 37345, 2432, 7079, 8142, 31758, 35093]]	[[], [], [], [], [], ['walk%2:38:00::', 'take_the_air%2:38:00::', 'go%2:38:00::']]
je vais m'occuper de vous aujourd'hui	[[], [], [], [], [], [], [13026, 32747], [13026, 32747]]	[[], [], [], [], [], [], ['now%4:02:00::'], ['now%4:02:00::']]
depuis aujourd'hui 	[[], [13026, 32747], [13026, 32747]]	[[], ['now%4:02:00::'], ['now%4:02:00::']]
voulez vous vous coucher ici 	[[5441, 31141, 36518], [], [], [], []]	[['desire%2:37:00::', 'want%2:31:01::'], [], [], [], []]
voulez vous bien vous mettre debout 	[[5441, 31141, 36518], [], [], [], [], []]	[['desire%2:37:00::', 'want%2:31:01::'], [], [], [], [], []]
voulez vous bien retirer votre pull 	[[5441, 31141, 36518], [], [], [], [], []]	[['desire%2:37:00::', 'want%2:31:01::'], [], [], [], [], []]
avez vous d'autres problèmes de santé 	[[], [], [], [17054], [], [], []]	[[], [], [], ['other%3:00:00::', 'another%5:00:00:other:00'], [], [], []]
avez vous d'autres plaintes 	[[], [], [], [17054], []]	[[], [], [], ['other%3:00:00::', 'another%5:00:00:other:00'], []]
prenez vous un autre médicament 	[[], [], [], [17054], []]	[[], [], [], ['other%3:00:00::', 'another%5:00:00:other:00'], []]
la douleur au ventre irradie t elle vers un autre endroit 	[[], [], [], [], [], [], [], [], [], [17054], []]	[[], [], [], [], [], [], [], [], [], ['other%3:00:00::', 'another%5:00:00:other:00'], []]
consommez vous d'autres drogues 	[[], [], [], [17054], []]	[[], [], [], ['other%3:00:00::', 'another%5:00:00:other:00'], []]
avez vous reçu un coup à l'endroit de la douleur 	[[], [], [], [], [], [], [], [9819], [], [], []]	[[], [], [], [], [], [], [], ['place%1:09:00::'], [], [], []]
la douleur au ventre irradie t elle vers un autre endroit 	[[], [], [], [], [], [], [], [], [], [], [9819]]	[[], [], [], [], [], [], [], [], [], [], ['place%1:09:00::']]
êtes vous souvent assis	[[], [], [], [11371, 11372]]	[[], [], [], ['sit%2:42:00::', 'sit_around%2:42:00::']]
avez vous mal quand vous vous asseyez 	[[], [], [], [], [], [], [11371, 11372]]	[[], [], [], [], [], [], ['sit%2:42:00::', 'sit_around%2:42:00::']]
asseyez vous	[[11371, 11372], []]	[['sit%2:42:00::'], []]
mangez vous beaucoup de riz ou de pâtes 	[[], [], [], [], [], [], [], [8652]]	[[], [], [], [], [], [], [], ['alimentary_paste%1:13:00::']]
avez vous très mal dans la poitrine 	[[], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], ['boob%1:08:00::']]
avez vous eu une opération de la poitrine 	[[], [], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], [], ['boob%1:08:00::']]
avez vous l'impression d'avoir un poids sur la poitrine 	[[], [], [], [], [], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], [], [], [], [], ['boob%1:08:00::']]
avez vous reçu un coup au niveau de la poitrine 	[[], [], [], [], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], [], [], [], ['boob%1:08:00::']]
il y a combien de jours que vous avez eu ce traumatisme à la poitrine	[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], [], [], [], [], [], [], [], [], ['boob%1:08:00::']]
pouvez vous ramener les genoux vers la poitrine 	[[], [], [], [], [], [], [], [2853, 7275, 8372]]	[[], [], [], [], [], [], [], ['boob%1:08:00::']]
avez vous un drôle de goût dans la bouche 	[[], [], [], [11355], [], [], [], [], []]	[[], [], [], ['curious%5:00:00:strange:00'], [], [], [], [], []]
avez vous eu une opération du ventre 	[[], [], [], [], [27925, 28019, 31989], [], []]	[[], [], [], [], ['operation%1:04:00::', 'operating_room%1:06:00::'], [], []]
avez vous eu une opération de l'appendicite 	[[], [], [], [], [27925, 28019, 31989], [], [], []]	[[], [], [], [], ['operation%1:04:00::', 'operating_room%1:06:00::'], [], [], []]
de combien de mètres êtes vous tombé 	[[], [], [], [29074], [], [], []]	[[], [], [], ['m%1:23:00::'], [], [], []]
quel âge ont vos enfants 	[[], [7072], [], [], []]	[[], ['age%1:28:00::'], [], [], []]
quel âge avez vous 	[[], [7072], [], []]	[[], ['age%1:28:00::'], [], []]
à quel âge avez vous commencé à fumer 	[[], [], [7072], [], [], [], [], []]	[[], [], ['age%1:28:00::'], [], [], [], [], []]
quel âge ont vos enfants 	[[], [], [], [], [7178]]	[[], [], [], [], ['baby%1:18:03::']]
pouvez vous me montrer ce qui vous amène 	[[], [], [], [], [], [], [], [8994]]	[[], [], [], [], [], [], [], ['conduct%2:38:01::']]
vous devez porter un masque	[[], [], [], [], [9169, 35613, 36791, 36793, 37040, 37267]]	[[], [], [], [], ['mask%1:06:01::']]
prenez vous un moyen de contraception 	[[], [], [], [], [], [31779, 31788, 31811, 32035, 32037, 32041, 32043]]	[[], [], [], [], [], ['contraception%1:04:00::']]
avez vous des fourmillements dans les membres 	[[], [], [], [], [], [], [29086]]	[[], [], [], [], [], [], ['appendage%1:08:00::']]
si des membres de votre entourage vivant sous le même toit présentent les mêmes symptômes ils doivent consulter	[[], [], [29086], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]	[[], [], ['appendage%1:08:00::'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]
avez vous des vertiges au repos 	[[], [], [], [], [], [24503]]	[[], [], [], [], [], ['relief%1:28:00::']]
urinez vous souvent en petite quantité 	[[], [], [], [], [4716], []]	[[], [], [], [], ['little%3:00:01::', 'little%3:00:00::'], []]
votre travail se passe t il bien 	[[], [11601, 16087, 16089, 19559], [], [], [], [], []]	[[], ['employment%1:04:00::', 'business%1:04:00::'], [], [], [], [], []]
vous rincez vous la bouche après avoir utilisé le médicament 	[[], [8559, 8560, 27784, 30032, 30038, 30039], [], [], [], [], [], [], [], []]	[[], ['gargle%2:29:00::'], [], [], [], [], [], [], [], []]
vous êtes vous déjà cassé une côte 	[[], [], [], [], [], [], [5433]]	[[], [], [], [], [], [], ['costa%1:08:01::']]
l'ordinateur va traduire mes questions	[[], [], [], [], [], [7217, 9843, 10366, 10369]]	[[], [], [], [], [], ['enquiry%1:10:00::', 'interrogation%1:10:01::']]
votre dos s'est déjà bloqué avant 	[[], [], [], [], [], [], [13028, 32745]]	[[], [], [], [], [], [], ['before%4:02:03::']]
avez vous des difficultés à bouger une partie de votre corps 	[[], [], [], [], [], [], [], [5436], [], [], []]	[[], [], [], [], [], [], [], ['division%1:09:00::'], [], [], []]
avez vous des animaux à la maison 	[[], [], [], [], [], [], [2317, 5957, 6964]]	[[], [], [], [], [], [], ['house%1:06:00::']]
avez vous eu un bleu sur la cheville 	[[], [], [], [], [], [], [], [3405]]	[[], [], [], [], [], [], [], ['ankle%1:08:00::']]
utilisez vous des seringues usagées 	[[], [], [], [31732], []]	[[], [], [], ['syringe%1:06:00::'], []]
vous protégez vous la peau du soleil 	[[], [], [], [], [], [], [2798, 7252, 10725]]	[[], [], [], [], [], [], ['sun%1:19:00::', 'sun%1:17:00::']]
quel est votre poids 	[[], [], [], [33128]]	[[], [], [], ['weight%1:07:00::']]
quelle était votre température maximale 	[[], [], [], [8230, 34898], []]	[[], [], [], ['temperature%1:07:00::'], []]
avez vous reçu une greffe d'organes 	[[], [], [], [], [], [], [24214], []]	[[], [], [], [], [], [], ['organ%1:08:00::'], []]
vos douleurs durent elles quelques secondes 	[[], [], [], [], [], [22633, 29104, 29105, 29106, 29107]]	[[], [], [], [], [], ['bit%1:28:00::']]
la douleur change t elle de place 	[[], [], [], [], [], [], [9819]]	[[], [], [], [], [], [], ['lieu%1:04:00::', 'place%1:15:05::', 'place%1:09:00::']]
avez vous parfois mal à l'arrière de la cuisse 	[[], [], [], [], [], [], [], [], [], [22185]]	[[], [], [], [], [], [], [], [], [], ['thigh%1:08:00::']]
avez vous terminé les antibiotiques 	[[], [], [28429], [], []]	[[], [], ['cease%2:42:13::'], [], []]
nous allons vous donner de l’oxygène avec un masque	[[], [], [], [17038, 17040, 28431], [], [], [], [], [], []]	[[], [], [], ['give%2:40:00::', 'give%2:40:06::'], [], [], [], [], [], []]
nous allons vous donner un rendez vous pour enlever le plâtre dans une semaine	[[], [], [], [17038, 17040, 28431], [], [], [], [], [], [], [], [], [], []]	[[], [], [], ['give%2:40:00::', 'give%2:40:06::'], [], [], [], [], [], [], [], [], [], []]
votre accouchement s'est il bien passé 	[[], [31706, 31707, 31769, 31959, 32019, 32021, 32022], [], [], [], [], []]	[[], ['childbed%1:26:00::'], [], [], [], [], []]
il faut enlever les lentilles	[[], [], [], [], [28511]]	[[], [], [], [], ['contact%1:06:01::']]
vous devez rester couché pour le moment	[[], [], [27206], [], [], [], []]	[[], [], ['remain%2:42:05::'], [], [], [], []]
avez vous soulevé quelque chose de lourd 	[[], [], [35101, 36073, 37521, 37522], [], [], [], []]	[[], [], ['bring_up%2:38:00::'], [], [], [], []]
à quelle date ont commencé les symptômes 	[[], [], [27411], [], [], [], []]	[[], [], ['date%1:28:00::'], [], [], [], []]
la douleur à la tête augmente t elle quand vous êtes fatigué 	[[], [], [], [], [], [], [], [], [], [], [], []]	[[], [], [], [], [], [], [], [], [], [], [], []]
nous allons faire un scanner	[[], [], [], [], [30705, 30797]]	[[], [], [], [], ['cat%1:04:00::']]
avez vous déjà eu une fracture dans votre vie 	[[], [], [], [], [], [], [], [], [8717]]	[[], [], [], [], [], [], [], [], ['life%1:28:01::']]
la douleur est elle difficile à situer 	[[], [], [], [], [], [], [30136]]	[[], [], [], [], [], [], ['arouse%2:37:00::']]
votre mère ou votre sœur a t elle eu un cancer du sein 	[[], [], [], [], [2422], [], [], [], [], [], [], [], []]	[[], [], [], [], ['sis%1:18:00::'], [], [], [], [], [], [], [], []]
avez vous actuellement un traitement pour le sida 	[[], [], [13026, 32747], [], [], [], [], []]	[[], [], ['now%4:02:00::'], [], [], [], [], []]
depuis combien d'heures avez vous mal 	[[], [], [], [29175], [], [], []]	[[], [], [], ['clock_time%1:28:00::'], [], [], []]
si des membres de votre entourage vivant sous le même toit présentent les mêmes symptômes ils doivent consulter	[[], [], [], [], [], [], [], [], [], [], [], [11308, 16823, 31902], [], [], [], [], [], []]	[[], [], [], [], [], [], [], [], [], [], [], ['demo%2:39:00::'], [], [], [], [], [], []]
je vais vous prescrire une paire de cannes anglaises	[[], [], [], [], [], [], [], [5922], []]	[[], [], [], [], [], [], [], ['walking_stick%1:06:00::'], []]
la douleur au ventre augmente t elle avec certains mouvements 	[[], [], [], [], [], [], [], [], [], [32592]]	[[], [], [], [], [], [], [], [], [], ['gesture%1:10:00::']]
la douleur diminue t elle avec le mouvement 	[[], [], [], [], [], [], [], [32592]]	[[], [], [], [], [], [], [], ['gesture%1:10:00::']]
montrez moi les mouvements qui aggravent la douleur	[[], [], [], [32592], [], [], [], []]	[[], [], [], ['gesture%1:10:00::'], [], [], [], []]
montrez moi un mouvement qui déclenche la douleur	[[], [], [], [32592], [], [], [], []]	[[], [], [], ['gesture%1:10:00::'], [], [], [], []]
avez vous fait un faux mouvement 	[[], [], [], [], [], [32592]]	[[], [], [], [], [], ['gesture%1:10:00::']]
vos jambes sont elles faibles 	[[], [], [], [], [4620, 10199, 25044]]	[[], [], [], [], ['weak%3:00:00::', 'faint%5:00:00:weak:00']]
vos selles flottent elles 	[[], [], [21876, 32904], []]	[[], [], ['float%2:38:01::'], []]
avez vous l'impression que tout tourne autour de vous 	[[], [], [], [], [], [], [6006], [], [], []]	[[], [], [], [], [], [], ['turn%2:38:02::'], [], [], []]
